stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
AF110,8544,"ALTA VISTA / CALEDON",,  45.410301, -75.657257,,,,,,
AF120,8209,"ALTA VISTA / CALEDON",,  45.410149, -75.657158,,,,,,
AF130,7164,"ALTA VISTA / DALE",,  45.408779, -75.658173,,,,,,
AF140,7165,"ALTA VISTA / DORION",,  45.408257, -75.658211,,,,,,
AF150,8219,"ALTA VISTA / DORION",,  45.407818, -75.658676,,,,,,
AF160,7166,"ALTA VISTA / CLUNY",,  45.405445, -75.659950,,,,,,
AF170,7167,"ALTA VISTA / BALFOUR",,  45.405045, -75.660439,,,,,,
AF180,8220,"ALTA VISTA / VALOUR",,  45.402775, -75.661842,,,,,,
AF190,8208,"ALTA VISTA / VALOUR",,  45.402821, -75.661560,,,,,,
AF210,7170,"ALTA VISTA / SMYTH",,  45.399715, -75.661819,,,,,,
AF220,7168,"ALTA VISTA / SMYTH",,  45.400898, -75.662300,,,,,,
AF230,7169,"ALTA VISTA / SMYTH",,  45.399212, -75.661919,,,,,,
AF240,8234,"SMYTH / ALTA VISTA",,  45.398590, -75.662582,,,,,,
AF270,2401,"SMYTH / RIVERSIDE",,  45.399109, -75.667206,,,,,,
AF280,7171,"SMYTH / RIVERSIDE",,  45.398891, -75.667023,,,,,,
AF910,3023,"HURDMAN 1B",,  45.412025, -75.665436,,,,,,
AF920,3023,"HURDMAN 1C",,  45.412067, -75.665001,,,,,,
AF930,3023,"HURDMAN 1D",,  45.412109, -75.664490,,,,,,
AF950,3023,"HURDMAN 2B",,  45.411846, -75.665421,,,,,,
AF960,3023,"HURDMAN 2C",,  45.411804, -75.666061,,,,,,
AF965,3030,"LYCÉE CLAUDEL 1A",,  45.406540, -75.664467,,,,,,
AF970,3030,"LYCÉE CLAUDEL 2A",,  45.406521, -75.664238,,,,,,
AF975,3031,"SMYTH 1A",,  45.401112, -75.666809,,,,,,
AF980,3031,"SMYTH 2A",,  45.401146, -75.666527,,,,,,
AG040,8555,"RIVERSIDE / PLEASANT PARK",,  45.393036, -75.672379,,,,,,
AG105,8216,"PLEASANT PARK / CABOT",,  45.392769, -75.671684,,,,,,
AG120,2327,"PLEASANT PARK / CABOT",,  45.392670, -75.671661,,,,,,
AG150,8240,"PLEASANT PARK / CAVENDISH",,  45.392967, -75.665291,,,,,,
AG160,8242,"PLEASANT PARK / CAVENDISH",,  45.392796, -75.665337,,,,,,
AG180,7173,"PLEASANT PARK / ALTA VISTA",,  45.393009, -75.662788,,,,,,
AG190,8207,"ALTA VISTA / SMYTH",,  45.398060, -75.661537,,,,,,
AG200,7174,"ALTA VISTA / CRESTVIEW",,  45.396343, -75.662178,,,,,,
AG210,8228,"ALTA VISTA / CRESTVIEW",,  45.395592, -75.662689,,,,,,
AG220,7175,"ALTA VISTA / BILLINGS",,  45.394539, -75.662674,,,,,,
AG240,8206,"ALTA VISTA / PLEASANT PARK",,  45.393425, -75.662590,,,,,,
AG250,7176,"ALTA VISTA / PLEASANT PARK",,  45.393162, -75.662682,,,,,,
AG260,8227,"ALTA VISTA / MOUNTBATTEN",,  45.391685, -75.662415,,,,,,
AG270,0837,"ALTA VISTA / SUMMIT",,  45.391350, -75.662125,,,,,,
AG280,7178,"ALTA VISTA / CUNNINGHAM",,  45.389275, -75.662727,,,,,,
AG290,7177,"ALTA VISTA / CUNNINGHAM",,  45.388668, -75.663086,,,,,,
AG300,5851,"ALTA VISTA / KILBORN",,  45.386723, -75.662834,,,,,,
AG310,5705,"ALTA VISTA / KILBORN",,  45.386494, -75.662567,,,,,,
AG320,8226,"ALTA VISTA / ORILLIA",,  45.385235, -75.662598,,,,,,
AG330,5709,"ALTA VISTA / CLONTARF",,  45.385071, -75.662422,,,,,,
AG340,7180,"ALTA VISTA / RANDALL",,  45.383827, -75.662193,,,,,,
AG350,7179,"ALTA VISTA / RANDALL",,  45.382874, -75.662209,,,,,,
AG360,8422,"ALTA VISTA / PALEN",,  45.382042, -75.661804,,,,,,
AG370,8423,"ALTA VISTA / WESMAR",,  45.381737, -75.661896,,,,,,
AG380,7181,"ALTA VISTA / WESMAR",,  45.379852, -75.661438,,,,,,
AG390,8359,"ALTA VISTA / HERON",,  45.378456, -75.661011,,,,,,
AG430,8425,"ALTA VISTA / RIDGEMOUNT",,  45.377113, -75.660843,,,,,,
AG480,8231,"HERON / ALTA VISTA",,  45.379028, -75.661911,,,,,,
AG500,7187,"HERON / EVANS",,  45.378971, -75.663826,,,,,,
AG510,8427,"HERON/EDGEHILL",,  45.378716, -75.664597,,,,,,
AG520,8286,"HERON / BANK",,  45.378761, -75.666840,,,,,,
AG525,1166,"HERON / BANK",,  45.378517, -75.666962,,,,,,
AG530,8202,"KILBORN / ALTA VISTA",,  45.386688, -75.663162,,,,,,
AG540,8225,"KILBORN / ALTA VISTA",,  45.386543, -75.662949,,,,,,
AG550,7189,"KILBORN / LILAC",,  45.386345, -75.665298,,,,,,
AG560,7188,"KILBORN / LILAC",,  45.386471, -75.665443,,,,,,
AG570,8224,"KILBORN / BEAVER",,  45.386189, -75.667488,,,,,,
AG580,8203,"KILBORN / BLOSSOM",,  45.386204, -75.669533,,,,,,
AG590,7190,"KILBORN / UTAH",,  45.386024, -75.669662,,,,,,
AG600,7192,"KILBORN / ROONEY'S LANE",,  45.385124, -75.670883,,,,,,
AG610,7191,"KILBORN / ROONEY'S",,  45.384541, -75.670883,,,,,,
AG900,3032,"RIVERSIDE 2A",,  45.396820, -75.669411,,,,,,
AG910,3032,"RIVERSIDE 1A",,  45.396866, -75.669640,,,,,,
AG920,3033,"PLEASANT PARK 2A",,  45.392769, -75.669304,,,,,,
AG930,3033,"PLEASANT PARK 1A",,  45.392853, -75.669510,,,,,,
AG940,3033,"PLEASANT PARK 4A",,  45.392834, -75.669136,,,,,,
AG950,3033,"PLEASANT PARK 3A",,  45.392754, -75.669640,,,,,,
AH010,8384,"WALKLEY / BANK",,  45.370575, -75.662659,,,,,,
AH020,8404,"WALKLEY / BANFF",,  45.371189, -75.661499,,,,,,
AH030,7193,"WALKLEY / AYERS",,  45.371670, -75.659813,,,,,,
AH040,7195,"WALKLEY / HAMPSTEAD",,  45.371967, -75.659637,,,,,,
AH050,7194,"WALKLEY / HAMSTEAD",,  45.372379, -75.658073,,,,,,
AH060,7196,"WALKLEY / JASPER",,  45.373055, -75.656891,,,,,,
AH090,8390,"WALKLEY / JASPER",,  45.373138, -75.656342,,,,,,
AH095,7197,"ALBION / WALKLEY",,  45.373737, -75.654701,,,,,,
AH110,8536,"WALKLEY / BAYCREST",,  45.376301, -75.648392,,,,,,
AH115,7198,"WALKLEY / HEATHERINGTON",,  45.377663, -75.645180,,,,,,
AH120,5818,"WALKLEY / AD. 1570",,  45.376484, -75.648567,,,,,,
AH125,1087,"WALKLEY / HEATHERINGTON",,  45.377846, -75.645355,,,,,,
AH130,8387,"WALKLEY / HEATHERINGTON",,  45.378086, -75.644135,,,,,,
AH140,8399,"WALKLEY / AD. 1680",,  45.378819, -75.642929,,,,,,
AH160,7201,"WALKLEY / HERON",,  45.379303, -75.641556,,,,,,
AH170,7199,"WALKLEY / HERON",,  45.379112, -75.641495,,,,,,
AH180,7202,"WALKLEY / HOLLY",,  45.379929, -75.640015,,,,,,
AH190,7200,"WALKLEY / HOLLY",,  45.379757, -75.639938,,,,,,
AH220,5806,"HEATHERINGTON / FAIRLEA",,  45.377514, -75.644608,,,,,,
AH230,8400,"HEATHERINGTON / FAIRLEA",,  45.376442, -75.644150,,,,,,
AH240,7203,"HEATHERINGTON / ANGELA",,  45.375053, -75.643661,,,,,,
AH250,8386,"HEATHERINGTON / FAIRLEA",,  45.375149, -75.643478,,,,,,
AH260,7204,"HEATHERINGTON / BANNERHILL",,  45.373959, -75.644279,,,,,,
AH270,7205,"HEATHERINGTON / BANNERHILL",,  45.373718, -75.644409,,,,,,
